format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00872,Female,36,160,66,12345,12345,12345,12345,12345,12345,1512442559186
5,0,-6421,-32595,-35917,-35016,-37636,-40399,-39590,-37765,-35521,-33752,-31768,-31275,1512442559946
5,12,-33899,-37314,-39293,-38948,-36311,-33602,-32627,-30905,-32445,-36815,-39831,-38865,1512442559947
9,0,129445,127294,131004,134064,136597,138689,140425,141864,143050,144031,144842,145510,1512442559948
9,12,146061,146521,146897,147211,147470,147686,147866,148016,148135,148242,148332,148408,1512442559948
9,24,148476,148530,148578,148618,148656,148688,148722,148744,148765,148785,148809,148825,1512442559948
10,0,134815,133038,132425,131915,131494,131146,130837,130601,130420,130273,130153,130050,1512442559949
10,12,129969,129906,129844,129794,129762,131244,138631,144842,149960,154188,157688,160586,1512442559950
10,24,162979,164960,166597,167951,169072,170002,170773,171409,171934,172364,172730,173030,1512442559951
10,36,173279,173488,173663,173805,173923,174024,174108,174182,174238,174290,174328,174365,1512442559951
5,24,-37491,-36012,-33562,-31289,-31299,-34879,-38469,-39114,-37558,-36192,-34479,-32847,1512442560018
5,36,-31415,-32535,-36450,-40303,-40319,-39120,-36982,-35463,-32713,-32392,-35150,-38545,1512442560018
5,48,-39807,-37948,-36783,-35523,-34750,-32481,-33294,-36959,-40883,-41277,-39707,-37372,1512442560018
9,36,148841,148862,148874,148890,148904,148916,148929,148941,148954,148963,148974,148982,1512442560019
9,48,148989,149003,149014,149028,149031,149039,149045,149050,149060,149069,149079,149085,1512442560020
9,60,149090,149095,149099,149100,149101,149100,149100,149105,149104,149103,149107,149105,1512442560020
9,72,149104,149103,149105,149102,149109,149109,149104,149104,149102,149101,149098,149096,1512442560020
9,84,149093,149090,149089,149086,149081,149079,149083,149086,149086,149085,149088,149085,1512442560021
10,48,174391,174414,174438,174456,174475,174488,174496,174511,174520,174529,174527,174538,1512442560089
10,60,174542,174549,174549,174551,174553,174559,174559,174559,174559,174563,174564,174565,1512442560089
10,72,174565,174566,174566,174569,174569,174566,174561,174562,174564,174559,174560,174557,1512442560089
10,84,174557,174554,174555,174556,174555,174554,174553,174551,174553,174550,174548,174550,1512442560090
10,96,174546,174544,174546,174543,174544,174544,174547,174545,174548,174551,174552,174555,1512442560090
5,60,-35126,-33437,-33043,-35450,-39800,-41061,-39475,-37502,-35540,-34974,-33272,-33199,1512442560091
5,72,-36748,-41487,-41729,-40015,-38025,-35677,-34003,-33460,-35991,-40153,-42233,-41011,1512442560091
5,84,-38888,-36162,-35332,-33910,-34974,-37950,-40938,-40581,-39315,-38392,-37576,-35802,1512442560092
5,96,-34369,-36273,-40134,-42442,-41296,-40083,-37574,-35523,-34057,-34829,-38126,-41820,1512442560092
5,108,-42841,-40714,-39637,-37642,-35068,-33545,-35708,-40456,-42310,-41570,-40414,-38755,1512442560092
9,96,149089,149089,149088,149086,149089,149090,149090,149091,149093,149096,149097,149100,1512442560206
9,108,149103,149111,149111,149121,149121,149121,149127,149132,149140,149142,149147,149151,1512442560206
9,120,149157,149167,149172,149182,149186,149195,149206,149212,149220,149230,149240,149247,1512442560206
9,132,149256,149264,149278,149289,149296,149307,149314,149323,149331,149341,149357,149369,1512442560206
10,108,174557,174555,174555,174556,174559,174564,174569,174567,174568,174569,174574,174580,1512442560207
10,120,174585,174585,174585,174590,174597,174601,174608,174609,174613,174620,174622,174628,1512442560208
10,132,174633,174640,174645,174648,174652,174660,174666,174669,174678,174678,174693,174701,1512442560208
10,144,174704,174712,174713,174721,174724,174729,174737,174745,174750,174758,174764,174770,1512442560208
5,120,-37631,-35180,-35122,-37883,-41511,-42561,-41590,-39473,-37619,-36207,-34779,-36122,1512442560208
5,132,-40035,-43307,-42076,-41017,-38892,-37228,-35471,-34982,-37510,-41776,-42745,-41636,1512442560209
5,144,-40089,-38417,-37278,-35676,-36672,-41388,-43335,-42908,-41495,-39023,-37180,-36275,1512442560209
5,156,-35790,-38226,-42085,-43711,-42333,-41164,-37937,-35872,-34780,-35856,-39598,-43708,1512442560209
9,144,149383,149396,149404,149417,149425,149438,149455,149464,149473,149488,149496,149509,1512442560210
9,156,149522,149533,149545,149558,149571,149582,149592,149604,149618,149627,149642,149653,1512442560210
9,168,149663,149676,149690,149703,149713,149728,149737,149751,149759,149774,149787,149801,1512442560210
9,180,149814,149823,149836,149847,149860,149872,149882,149893,149901,149915,149928,149939,1512442560210
10,156,174776,174790,174792,174802,174805,174816,174817,174823,174831,174830,174842,174844,1512442560218
10,168,174852,174859,174868,174876,174880,174888,174896,174901,174906,174915,174923,174930,1512442560219
10,180,174934,174942,174947,174955,174965,174967,174977,174980,174987,174994,174999,175007,1512442560219
10,192,175008,175017,175024,175027,175035,175046,175049,175051,175054,175066,175069,175078,1512442560219
5,168,-43823,-41771,-39097,-37660,-35876,-34831,-37002,-41352,-43735,-42428,-40405,-38194,1512442560282
5,180,-36994,-35518,-36717,-40022,-43804,-44094,-42599,-39701,-37826,-35657,-34996,-38261,1512442560283
5,192,-42273,-43638,-42656,-41707,-39763,-38826,-36922,-37548,-40764,-45476,-44461,-41929,1512442560283
5,204,-41083,-39260,-37212,-36138,-38508,-41979,-44618,-43397,-41924,-40459,-38430,-36427,1512442560284
9,192,149953,149967,149975,149986,149998,150006,150019,150027,150037,150049,150059,150071,1512442560312
9,204,150078,150090,150101,150110,150121,150131,150137,150146,150157,150164,150169,150182,1512442560312
9,216,150192,150201,150208,150210,150218,150231,150238,150244,150249,150256,150263,150270,1512442560313
9,228,150278,150284,150296,150303,150309,150318,150325,150331,150337,150347,150353,150355,1512442560314
10,204,175083,175085,175095,175101,175105,175108,175115,175115,175126,175128,175133,175142,1512442560339
10,216,175144,175146,175150,175154,175154,175160,175167,175169,175168,175172,175176,175183,1512442560340
10,228,175188,175191,175199,175202,175206,175211,175211,175215,175220,175220,175226,175229,1512442560340
10,240,175230,175238,175239,175244,175245,175242,175245,175254,175256,175260,175266,175268,1512442560340
10,252,175270,175274,175278,175283,175287,175289,175291,175295,175297,175302,175307,175306,1512442560341
5,216,-37181,-40313,-44023,-44428,-43399,-41842,-39848,-37886,-36827,-38671,-42560,-45130,1512442560372
5,228,-44380,-43215,-40677,-39155,-37670,-37743,-41711,-45457,-44391,-42466,-39799,-37694,1512442560373
5,240,-35420,-33062,-33476,-36412,-39099,-37074,-34580,-31888,-29950,-27768,-28935,-32966,1512442560373
5,252,-37239,-38379,-38365,-38023,-37503,-37052,-36458,-39033,-43531,-46118,-44958,-43459,1512442560373
5,264,-40152,-38387,-37137,-37512,-41169,-45473,-44634,-43170,-42337,-40055,-38520,-37413,1512442560374
9,240,150363,150368,150376,150382,150388,150396,150403,150408,150411,150422,150427,150432,1512442560415
9,252,150434,150441,150451,150457,150466,150472,150475,150485,150485,150494,150501,150509,1512442560416
9,264,150514,150520,150527,150530,150536,150541,150548,150550,150558,150560,150565,150573,1512442560416
9,276,150585,150594,150596,150602,150611,150617,150623,150628,150636,150641,150647,150659,1512442560416
9,288,150668,150671,150676,150686,150695,150706,150713,150723,150729,150737,150749,150757,1512442560417
10,264,175308,175316,175320,175320,175321,175324,175324,175326,175329,175332,175336,175340,1512442560429
10,276,175347,175351,175356,175358,175363,175363,175362,175365,175368,175374,175378,175384,1512442560430
10,288,175387,175394,175396,175401,175404,175406,175414,175419,175422,175426,175432,175440,1512442560430
10,300,175445,175450,175452,175452,175460,175459,175466,175470,175475,175483,175487,175492,1512442560431
5,276,-38693,-42805,-46015,-44637,-42238,-40937,-39381,-37528,-37704,-40628,-43958,-45290,1512442560461
5,288,-44208,-42256,-40399,-39347,-37459,-39264,-43126,-45164,-45204,-44053,-41060,-39603,1512442560462
5,300,-38224,-38462,-40302,-44012,-44906,-43696,-42540,-40818,-39542,-36898,-38254,-43100,1512442560462
5,312,-45940,-45102,-43501,-41705,-39909,-38265,-37745,-40453,-45138,-45259,-44242,-42278,1512442560463
9,300,150769,150775,150788,150794,150799,150803,150816,150826,150835,150846,150854,150861,1512442560492
9,312,150873,150879,150892,150902,150911,150919,150934,150944,150954,150962,150976,150986,1512442560493
9,324,150992,151000,151014,151023,151027,151038,151046,151058,151066,151075,151082,151093,1512442560493
10,312,175499,175496,175504,175509,175515,175521,175525,175531,175538,175544,175553,175557,1512442560557
10,324,175560,175566,175575,175581,175585,175590,175595,175596,175597,175603,175603,175612,1512442560557
10,336,175617,175620,175631,175634,175641,175643,175650,175654,175656,175665,175670,175676,1512442560558
10,348,175680,175682,175691,175694,175699,175706,175703,175711,175708,175712,175709,175707,1512442560562
5,324,-40911,-39567,-37064,-38259,-42002,-44908,-44967,-43772,-41819,-40119,-38425,-36716,1512442560564
5,336,-38794,-43192,-45116,-43946,-42397,-39957,-38762,-37219,-37915,-41871,-44669,-44171,1512442560565
5,348,-43458,-41904,-39530,-37580,-36669,-38730,-42966,-44933,-43418,-41268,-38580,-37843,1512442560566
