format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00369,Male,44,173,71,12345,12345,12345,12345,12345,12345,1513662324259
5,0,-37813,-190490,-226058,-220337,-215647,-214731,-212271,-211478,-214831,-220683,-222949,-219976,1513662325024
5,12,-216635,-213922,-212374,-209939,-211716,-217517,-220736,-220940,-218324,-215464,-213672,-211244,1513662325024
9,0,129263,128196,132885,136761,139957,142604,144798,146612,148112,149343,150355,151189,1513662325025
9,12,151876,152439,152900,153279,153589,153836,154036,154195,154318,154412,154483,154538,1513662325025
9,24,154574,154599,154607,154608,154596,154585,154566,154532,154506,154468,154431,154387,1513662325026
10,0,134801,133036,132423,131913,131494,131152,130849,130603,130427,130279,130162,130058,1513662325026
10,12,129973,129913,129858,129808,129771,130983,138058,143995,148884,152932,156275,159028,1513662325029
10,24,161303,163182,164728,166000,167052,167915,168629,169206,169686,170073,170385,170643,1513662325029
10,36,170855,171022,171150,171255,171340,171398,171445,171479,171500,171513,171527,171530,1513662325029
5,24,-210930,-215138,-219883,-221419,-218491,-217477,-215805,-212314,-211222,-214253,-218984,-222221,1513662325119
5,36,-221484,-219285,-218100,-215973,-212162,-212964,-216280,-220556,-222608,-223980,-220954,-217691,1513662325119
5,48,-215074,-212725,-213305,-217819,-222665,-223916,-222706,-220260,-217629,-215079,-213666,-216884,1513662325119
9,36,154346,154300,154251,154201,154150,154103,154056,154002,153956,153908,153859,153807,1513662325120
9,48,153762,153710,153664,153615,153568,153523,153481,153441,153402,153360,153325,153285,1513662325121
9,60,153247,153213,153178,153146,153112,153082,153053,153025,152998,152969,152946,152923,1513662325121
9,72,152899,152882,152864,152852,152834,152815,152805,152791,152782,152770,152761,152749,1513662325121
10,48,171525,171516,171505,171496,171491,171477,171461,171445,171430,171412,171386,171372,1513662325122
10,60,171356,171339,171322,171311,171296,171281,171267,171253,171239,171227,171217,171198,1513662325122
10,72,171190,171176,171168,171156,171149,171143,171130,171121,171110,171106,171102,171100,1513662325122
10,84,171090,171088,171084,171082,171079,171077,171076,171075,171076,171072,171072,171072,1513662325123
5,60,-222073,-226429,-225784,-221208,-218163,-217336,-215576,-215944,-219917,-225835,-225017,-222898,1513662325186
5,72,-220093,-216994,-213596,-213827,-218977,-223992,-224822,-223910,-222421,-221356,-218058,-214686,1513662325186
5,84,-216317,-221210,-226032,-226468,-224114,-221766,-219997,-217155,-214345,-216811,-223847,-226857,1513662325186
5,96,-225026,-224069,-221427,-218124,-216187,-216802,-220632,-225043,-224398,-224219,-222381,-219891,1513662325187
9,84,152738,152733,152722,152718,152711,152705,152697,152697,152693,152690,152691,152692,1513662325188
9,96,152686,152685,152691,152687,152693,152695,152697,152702,152705,152709,152715,152718,1513662325189
9,108,152720,152729,152735,152739,152737,152741,152744,152752,152759,152764,152772,152778,1513662325189
9,120,152785,152794,152803,152814,152825,152836,152845,152854,152866,152872,152880,152890,1513662325189
10,96,171070,171064,171061,171060,171063,171066,171068,171070,171074,171074,171073,171078,1513662325308
10,108,171084,171084,171090,171093,171087,171093,171090,171087,171094,171101,171104,171110,1513662325308
10,120,171116,171123,171131,171134,171140,171139,171146,171144,171153,171156,171156,171163,1513662325309
10,132,171171,171175,171185,171189,171190,171198,171205,171210,171219,171230,171236,171242,1513662325309
5,108,-217490,-215648,-217747,-223344,-226711,-226774,-223674,-220563,-219965,-217573,-216874,-221067,1513662325310
5,120,-226978,-228308,-224692,-221420,-220772,-217238,-214741,-217406,-223032,-226537,-225767,-224078,1513662325310
5,132,-221750,-220148,-217282,-215817,-220333,-226666,-225998,-224021,-222338,-221567,-219097,-216968,1513662325311
5,144,-219051,-222504,-226620,-226547,-224615,-221280,-219524,-217312,-217969,-220824,-224648,-224823,1513662325311
5,156,-225873,-225990,-222037,-219012,-217849,-219489,-223734,-226307,-227159,-225061,-222869,-220773,1513662325311
5,168,-216780,-218350,-221219,-225818,-227909,-226598,-224683,-221638,-218292,-216527,-219020,-223941,1513662325311
9,132,152902,152914,152925,152934,152940,152951,152963,152979,152992,153006,153021,153032,1513662325313
9,144,153048,153060,153073,153081,153095,153112,153132,153146,153157,153161,153179,153187,1513662325313
9,156,153201,153213,153221,153234,153251,153261,153266,153279,153290,153303,153309,153320,1513662325313
9,168,153327,153335,153346,153352,153358,153361,153365,153369,153371,153373,153378,153382,1513662325314
9,180,153386,153391,153387,153393,153390,153391,153389,153392,153393,153388,153392,153391,1513662325314
9,192,153393,153390,153390,153384,153384,153384,153385,153381,153380,153379,153379,153377,1513662325314
10,144,171250,171260,171264,171265,171272,171278,171288,171298,171304,171309,171317,171327,1513662325346
10,156,171333,171337,171346,171353,171359,171367,171372,171377,171381,171390,171392,171394,1513662325346
10,168,171399,171404,171409,171413,171411,171416,171415,171420,171425,171427,171431,171436,1513662325347
10,180,171433,171434,171433,171436,171434,171436,171438,171441,171438,171440,171436,171441,1513662325347
10,192,171438,171438,171440,171440,171442,171440,171441,171437,171434,171431,171428,171425,1513662325347
10,204,171428,171426,171429,171428,171424,171422,171429,171424,171426,171424,171427,171427,1513662325348
5,180,-227054,-227213,-225076,-222975,-220451,-218286,-217450,-220752,-225060,-226549,-226831,-224512,1513662325380
5,192,-222034,-219401,-216914,-218787,-223786,-227269,-227326,-224956,-221650,-220617,-219043,-218749,1513662325380
5,204,-220522,-224592,-227791,-227415,-225390,-222566,-220153,-217337,-217751,-222254,-225999,-227362,1513662325381
5,216,-226705,-224504,-222367,-218286,-215956,-218467,-224146,-227556,-227330,-225518,-223029,-220840,1513662325381
9,204,153379,153371,153371,153370,153369,153365,153362,153364,153365,153362,153362,153364,1513662325402
9,216,153358,153361,153361,153361,153359,153358,153365,153365,153369,153376,153374,153376,1513662325403
9,228,153381,153389,153391,153394,153402,153409,153416,153423,153430,153438,153444,153453,1513662325403
9,240,153460,153466,153472,153476,153483,153492,153500,153510,153518,153524,153537,153546,1513662325403
10,216,171427,171433,171432,171430,171431,171434,171438,171437,171435,171433,171434,171437,1513662325430
