format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00689,Male,43,171,90,12345,12345,12345,12345,12345,12345,1514255659614
5,0,-19521,-100517,-121836,-121442,-120500,-118547,-118008,-117887,-118102,-118030,-117611,-116681,1514255660220
5,12,-116329,-117127,-117795,-117657,-117513,-116787,-115948,-116417,-117022,-116537,-116645,-116875,1514255660221
9,0,129890,128158,132818,136673,139857,142490,144672,146482,147981,149214,150234,151080,1514255660222
9,12,151777,152351,152832,153227,153555,153827,154050,154235,154386,154506,154604,154689,1514255660222
9,24,154758,154813,154856,154890,154915,154927,154938,154940,154937,154930,154921,154905,1514255660222
10,0,134791,133047,132430,131923,131501,131155,130847,130608,130426,130280,130157,130058,1514255660297
10,12,129974,129909,129852,129809,129773,130193,136398,141606,145900,149461,152404,154836,1514255660298
10,24,156847,158507,159874,161012,161950,162718,163349,163871,164300,164652,164942,165180,1514255660299
10,36,165371,165526,165644,165749,165822,165880,165921,165956,165976,165986,165994,165994,1514255660301
10,48,165988,165974,165960,165943,165923,165895,165874,165846,165821,165791,165767,165736,1514255660301
5,24,-116839,-116365,-115498,-116464,-117105,-117027,-117087,-116872,-116656,-116623,-116206,-116640,1514255660302
5,36,-115919,-116023,-116007,-116199,-116584,-116067,-116164,-116639,-116493,-117002,-117750,-117017,1514255660302
5,48,-117049,-117684,-117253,-117079,-117738,-118103,-118220,-118042,-117371,-119152,-119517,-119073,1514255660302
5,60,-118311,-118795,-119946,-120179,-119671,-120278,-120521,-120564,-120644,-121593,-121568,-121955,1514255660302
9,36,154885,154863,154835,154812,154776,154736,154709,154668,154631,154586,154544,154493,1514255660385
9,48,154447,154400,154349,154300,154245,154190,154134,154082,154025,153972,153918,153862,1514255660385
9,60,153803,153747,153690,153636,153581,153524,153474,153425,153379,153330,153281,153231,1514255660386
9,72,153187,153137,153096,153054,153014,152968,152933,152896,152858,152827,152797,152769,1514255660386
9,84,152740,152716,152686,152664,152638,152612,152590,152570,152555,152533,152513,152496,1514255660386
10,60,165706,165675,165642,165614,165584,165554,165523,165497,165469,165441,165411,165387,1514255660390
10,72,165361,165333,165305,165280,165255,165232,165204,165183,165160,165143,165123,165102,1514255660390
10,84,165084,165068,165055,165040,165023,165004,164993,164981,164967,164961,164948,164938,1514255660390
10,96,164927,164923,164914,164905,164892,164887,164879,164871,164864,164858,164853,164851,1514255660390
5,72,-122255,-122284,-121503,-121676,-122211,-122567,-123402,-122474,-121863,-121949,-122250,-122810,1514255660393
5,84,-122365,-122801,-123852,-123242,-122823,-123779,-123586,-123552,-123655,-123024,-123105,-123302,1514255660394
5,96,-123825,-124353,-124133,-124119,-123561,-123981,-123960,-123722,-124210,-123923,-123784,-124146,1514255660395
5,108,-124075,-124718,-124978,-124774,-124790,-124834,-124865,-123820,-123677,-123838,-124193,-124605,1514255660395
9,96,152479,152460,152450,152436,152423,152410,152405,152390,152376,152368,152357,152352,1514255660522
9,108,152349,152346,152337,152335,152332,152330,152328,152325,152319,152319,152320,152320,1514255660522
9,120,152321,152325,152328,152326,152329,152335,152335,152342,152344,152351,152356,152365,1514255660522
9,132,152371,152380,152386,152402,152413,152427,152437,152450,152463,152478,152494,152506,1514255660523
10,108,164846,164849,164845,164841,164838,164836,164837,164833,164832,164835,164830,164827,1514255660524
10,120,164826,164827,164831,164826,164830,164829,164835,164836,164841,164844,164842,164849,1514255660524
10,132,164851,164854,164855,164858,164864,164876,164882,164889,164895,164903,164910,164918,1514255660524
10,144,164929,164940,164947,164951,164963,164975,164984,164992,165001,165011,165022,165037,1514255660524
5,120,-125685,-125683,-124965,-124922,-124378,-124461,-124649,-124769,-125112,-125361,-125471,-125063,1514255660525
5,132,-124431,-124852,-126116,-125261,-124950,-124679,-124478,-125207,-124976,-124467,-124916,-125045,1514255660526
5,144,-125460,-125512,-126332,-125909,-125810,-125140,-125592,-125524,-124980,-126025,-125881,-126204,1514255660526
